Date,Customer Name,Delarship,Year,Make,Model,KM,COLOR,Service Ready Time,Delivery Date,Day,Sales Rep,Type oF Payment,Licensing Instructions,,,,
"Saturday, February 24, 2024",MICHEAL,Alberta,2014,Hyundai,Santa Fe,59736,BLACK,10:00:00,13:00:00,"Monday, February 5, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",VANDANNA,Alberta,2001,Mercedes,Fusion,86338,BLACK,10:00:00,13:00:00,"Monday, February 5, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",SHANE,Alberta,2012,Honda,Accord,76439,WHITE,11:00:00,14:00:00,"Monday, February 5, 2024",Harper Wright,F,NEW PLATES,,,,
"Saturday, February 24, 2024",QASIM,Vancouver,2010,Ford,Jetta,30013,BLACK,13:00:00,16:00:00,"Monday, February 5, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Saturday, February 24, 2024",Gurdut,Vancouver,2018,BMW,X5,75442,BLACK,11:00:00,11:00:00,"Tuesday, February 6, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",SOHAIL ,Vancouver,2014,Hyundai,Accent,59288,GRAY,10:00:00,13:00:00,"Tuesday, February 6, 2024",Sebastian King,F ,NEW PLATES,,,,
"Saturday, February 24, 2024",Viraj,Vancouver,2004,BMW,5 Series,84684,GRAY,12:00:00,15:00:00,"Tuesday, February 6, 2024",Sebastian King,F,NEW PLATES,,,,
"Saturday, February 24, 2024",SARTHAK,Vancouver,2004,Hyundai,Mustang,39161,BLACK ,10:00:00,13:00:00,"Tuesday, February 6, 2024",Lucas Clark,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Zat,Vancouver,2002,Subaru,Altima,27545,SILVER,11:00:00,14:00:00,"Tuesday, February 6, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",SHAWN,Vancouver,2014,Hyundai,Accent,75660,GRAY,12:00:00,15:00:00,"Tuesday, February 6, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",gavin,Vancouver,2012,Honda,4 Series,53586,WHITE,13:00:00,16:00:00,"Tuesday, February 6, 2024",Sebastian King,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Renuka,Vancouver,2016,Subaru,Crosstrek,12251,BLACK,15:00:00,18:00:00,"Tuesday, February 6, 2024",Lucas Clark,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Soraiyah Mohammed,Vancouver,2007,Ford,Explorer,45652,BLACK,15:00:00,18:00:00,"Tuesday, February 6, 2024",Henry Walker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Tahir,Alberta,2006,Honda,CR-V,80427,WHITE,11:00:00,14:00:00,"Tuesday, February 6, 2024",Liam Johnson,C,NEW PLATES,,,,
"Saturday, February 24, 2024",joe foti,Toronto,2014,Chevrolet,Impala,58377,GRAY,10:00:00,13:00:00,"Wednesday, February 7, 2024",Sebastian King,F,NEW PLATES,,,,
"Saturday, February 24, 2024",ALEX,Toronto,2002,Volkswagen,Sonata,62601,SILVER,8:00:00,11:00:00,"Wednesday, February 7, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Kaliyan,Toronto,2008,Chevrolet,Impala,66496,WHITE,8:00:00,11:00:00,"Wednesday, February 7, 2024",Charlotte Adams,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",STEPHANO,Vancouver,2020,Nissan,Golf,67480,WHITE,8:00:00,11:00:00,"Wednesday, February 7, 2024",Harper Wright,C ,NEW PLATES,,,,
"Saturday, February 24, 2024",Martin,Vancouver,2008,Volkswagen,Atlas,63715,WHITE,8:00:00,11:00:00,"Wednesday, February 7, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",WAGMA,Vancouver,2016,Ford,Explorer,40227,BLACK ,12:00:00,15:00:00,"Wednesday, February 7, 2024",Henry Walker,C,NEW PLATES,,,,
"Saturday, February 24, 2024",Anna,Vancouver,2000,Volkswagen,Golf,73895,BLUE,9:00:00,12:00:00,"Wednesday, February 7, 2024",Sebastian King,C,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",ZAFAR,Vancouver,2021,Volkswagen,4 Series,80387,BLUE,10:00:00,13:00:00,"Wednesday, February 7, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",SHAMIR ,Vancouver,2008,Subaru,Pilot,59884,WHITE,8:00:00,12:00:00,"Wednesday, February 7, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",SONG,Vancouver,2013,Volkswagen,Mustang,39114,GRAY,8:00:00,11:00:00,"Wednesday, February 7, 2024",Harper Wright,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",RON,Vancouver,2022,BMW,3 Series,108314,WHITE,9:00:00,12:00:00,"Wednesday, February 7, 2024",Jack Scott,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Teju Oyewole,Vancouver,2015,Hyundai,Accent,58315,BLACK,12:00:00,15:00:00,"Wednesday, February 7, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",JK VC  ,Vancouver,2002,Subaru,Murano,62637,BLACK,11:00:00,14:00:00,"Wednesday, February 7, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",CHARLENE,Vancouver,2023,Chevrolet,Highlander,42950,GRAY,14:00:00,17:00:00,"Wednesday, February 7, 2024",Harper Wright,F,NEW PLATES,,,,
"Saturday, February 24, 2024",GURKERT,Vancouver,2015,Mercedes,C-Class,51612,WHITE,11:00:00,18:00:00,"Wednesday, February 7, 2024",Charlotte Adams,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",EDUARDO,Vancouver,2015,Nissan,Escape,91440,SILVER,11:00:00,13:00:00,"Wednesday, February 7, 2024",Charlotte Adams,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",GEYOY,Vancouver,2001,Subaru,Elantra,81969,WHITE,12:00:00,15:00:00,"Wednesday, February 7, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Saturday, February 24, 2024",Ivan,Vancouver,2004,Volkswagen,GLA,38552,BLACK,13:00:00,16:00:00,"Wednesday, February 7, 2024",Lucas Clark,F,NEW PLATES,,,,
"Saturday, February 24, 2024",irvine,Vancouver,2016,Subaru,Crosstrek,51461,BLUE,15:00:00,18:00:00,"Wednesday, February 7, 2024",Henry Walker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",PETER,Alberta,2012,Volkswagen,Golf,156651,WHITE,15:00:00,18:00:00,"Wednesday, February 7, 2024",Henry Walker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",ravneet,Alberta,2004,Chevrolet,Impala,99424,BLACK,15:00:00,18:00:00,"Wednesday, February 7, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",DAVID,Vancouver,2015,Ford,Highlander,62216,WHITE,15:00:00,18:00:00,"Wednesday, February 7, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Baljinder,Vancouver,2015,BMW,5 Series,53713,BLUE,9:00:00,12:00:00,"Wednesday, February 7, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",JAMIE,Toronto,2017,Hyundai,5 Series,47965,RED,12:00:00,15:00:00,"Thursday, February 8, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Saturday, February 24, 2024",DIVYANSH,Vancouver,2010,Toyota,Corolla,90754,WHITE,21:00:00,0:00:00,"Thursday, February 8, 2024",Harper Wright,C,NEW PLATES,,,,
"Saturday, February 24, 2024",ANTHONY,Vancouver,2018,Volkswagen,CR-V,50515,BLACK,7:00:00,10:00:00,"Thursday, February 8, 2024",Sebastian King,F,NEW PLATES,,,,
"Saturday, February 24, 2024",ALEX,Vancouver,2007,Honda,Accord,76574,BLACK,11:00:00,11:00:00,"Thursday, February 8, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",ARYAN,Vancouver,2023,Toyota,S-Class,55782,ORANGE,21:00:00,0:00:00,"Thursday, February 8, 2024",Jack Scott,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Monica,Vancouver,2016,Chevrolet,Tahoe,205144,BLACK,8:00:00,11:00:00,"Thursday, February 8, 2024",James Thompson,C,TEMP PLATES,,,,
"Saturday, February 24, 2024",Jatinder,Vancouver,2004,BMW,Escape,68883,BLACK,9:00:00,12:00:00,"Thursday, February 8, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",PANKAJ ,Vancouver,2009,Volkswagen,Tiguan,64636,GRAY,14:00:00,17:00:00,"Thursday, February 8, 2024",Harper Wright,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Simon,Vancouver,2006,Nissan,Accord,62222,GRAY,15:00:00,18:00:00,"Thursday, February 8, 2024",Liam Johnson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",AMIR,Vancouver,2022,Nissan,Pathfinder,63303,GRAY,14:00:00,17:00:00,"Thursday, February 8, 2024",Lily Baker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Gene ,Vancouver,2006,Hyundai,Sonata,61184,BLACK,14:00:00,17:00:00,"Thursday, February 8, 2024",Lily Baker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",RABBI,Toronto,2012,Toyota,Golf,87673,BLACK,9:00:00,12:00:00,"Friday, February 9, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",TINA,Vancouver,2000,Mercedes,Golf,54210,BLUE,8:00:00,11:00:00,"Friday, February 9, 2024",Henry Walker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",IVAN,Vancouver,2002,Volkswagen,Sentra,104402,BLACK,8:00:00,11:00:00,"Friday, February 9, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",JOE,Vancouver,2011,Toyota,Escape,60567,BLACK,8:00:00,12:00:00,"Friday, February 9, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",ISHUPREET,Vancouver,2021,Honda,Civic,68824,BLUE,10:00:00,13:00:00,"Friday, February 9, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",SILKY,Vancouver,2017,Volkswagen,Tiguan,46408,BLACK,11:00:00,14:00:00,"Friday, February 9, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",illia,Vancouver,2010,Chevrolet,F-150,57619,SILVER,11:00:00,14:00:00,"Friday, February 9, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",JIM,Vancouver,2001,Volkswagen,Passat,63060,BLACK,11:00:00,14:00:00,"Friday, February 9, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Marian,Vancouver,2020,Toyota,Malibu,25553,WHITE,10:00:00,13:00:00,"Friday, February 9, 2024",Lily Baker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",ADRIAN,Vancouver,2001,Hyundai,Accent,52010,GRAY,14:00:00,17:00:00,"Friday, February 9, 2024",Lucas Clark,F,NEW PLATES,,,,
"Saturday, February 24, 2024",JOSH,Vancouver,2011,Mercedes,Corolla,44062,WHITE,14:00:00,17:00:00,"Friday, February 9, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Saturday, February 24, 2024",JASON,Vancouver,2022,Ford,Explorer,67091,WHITE,14:00:00,17:00:00,"Friday, February 9, 2024",James Thompson,C,NEW PLATES,,,,
"Saturday, February 24, 2024",ASIF,Vancouver,2014,Hyundai,Tucson,117256,WHITE,0:00:00,0:00:00,"Friday, February 9, 2024",Liam Johnson,C,NEW PLATES,,,,
"Saturday, February 24, 2024",MIKE,Toronto,2002,Mercedes,Pilot,48312,BLUE,12:00:00,15:00:00,"Monday, February 12, 2024",Lucas Clark,C,NEW PLATES,,,,
"Saturday, February 24, 2024",AZZ MALIK,Vancouver,2003,Subaru,Golf,65548,WHITE,11:00:00,14:00:00,"Monday, February 12, 2024",Harper Wright,C,NEW PLATES,,,,
"Saturday, February 24, 2024",Tim Faught,Vancouver,2005,Ford,5 Series,67994,WHITE,12:00:00,15:00:00,"Monday, February 12, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",RAF,Vancouver,2013,Honda,Civic,40547,WHITE,14:00:00,17:00:00,"Monday, February 12, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Saturday, February 24, 2024",HAIDER,Toronto,2015,Toyota,Outback,70712,RED,21:00:00,0:00:00,"Tuesday, February 13, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Duke,Toronto,2023,Mercedes,GLA,53900,GRAY,10:00:00,13:00:00,"Tuesday, February 13, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Saturday, February 24, 2024",damian,Toronto,2011,Toyota,Corolla,41709,BLACK,9:00:00,12:00:00,"Tuesday, February 13, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",AHMED,Toronto,2001,Honda,Accord,40671,RED,8:00:00,11:00:00,"Tuesday, February 13, 2024",James Thompson,C,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",Debbie,Vancouver,2014,Chevrolet,E-Class,27810,RED,8:00:00,11:00:00,"Tuesday, February 13, 2024",Henry Walker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",HERCLE,Vancouver,2013,Toyota,Highlander,217995,WHITE,9:00:00,12:00:00,"Tuesday, February 13, 2024",Henry Walker,F,TEMP PLATES,,,,
"Saturday, February 24, 2024",Justin,Vancouver,2017,Chevrolet,Passat,107240,WHITE,12:00:00,15:00:00,"Tuesday, February 13, 2024",Harper Wright,C,NEW PLATES,,,,
"Saturday, February 24, 2024",jagjot,Vancouver,2019,Hyundai,Sonata,60280,GRAY,12:00:00,15:00:00,"Tuesday, February 13, 2024",Liam Johnson,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",JASPREET SINGH ,Vancouver,2019,Hyundai,Accent,19124,WHITE,15:00:00,18:00:00,"Tuesday, February 13, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Saturday, February 24, 2024",GAGANPAL SINGH ,Alberta,2003,BMW,Escape,80395,WHITE,10:00:00,13:00:00,"Tuesday, February 13, 2024",Liam Johnson,C,NEW PLATES,,,,
"Saturday, February 24, 2024",COOPER,Vancouver,2018,Volkswagen,3 Series,75457,GRAY,14:00:00,17:00:00,"Tuesday, February 13, 2024",Liam Johnson,F ,NEW PLATES,,,,
"Saturday, February 24, 2024",RUBEN,Alberta,2007,Nissan,Rogue,34716,BLACK,16:00:00,19:00:00,"Tuesday, February 13, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",NIQUILLE,Alberta,2007,Mercedes,Pathfinder,74200,BLUE,14:00:00,17:00:00,"Tuesday, February 13, 2024",Jack Scott,F,NEW PLATES,,,,
"Saturday, February 24, 2024",ROUSHAN,Vancouver,2020,Hyundai,Rogue,85391,GRAY,15:00:00,18:00:00,"Tuesday, February 13, 2024",Jack Scott,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Damon,Toronto,2000,BMW,4 Series,85879,WHITE,8:00:00,11:00:00,"Wednesday, February 14, 2024",Charlotte Adams,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",ANNE,Toronto,2021,Toyota,GLE,63170,BLACK,12:00:00,15:00:00,"Wednesday, February 14, 2024",Sebastian King,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",LEEMA,Vancouver,2001,Nissan,Murano,221427,GRAY,8:00:00,11:00:00,"Wednesday, February 14, 2024",Charlotte Adams,C,TEMP PLATES,,,,
"Saturday, February 24, 2024",SURJEET,Vancouver,2015,Hyundai,3 Series,23500,BLACK,10:00:00,13:00:00,"Wednesday, February 14, 2024",Harper Wright,F,NEW PLATES,,,,
"Saturday, February 24, 2024",sharol,Vancouver,2008,Mercedes,Impala,67817,BLACK,9:00:00,12:00:00,"Wednesday, February 14, 2024",Henry Walker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",CONRADO,Vancouver,2008,Subaru,WRX,37132,WHITE,10:00:00,13:00:00,"Wednesday, February 14, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Saturday, February 24, 2024",Makde,Vancouver,2005,Volkswagen,Explorer,73393,BLUE,11:00:00,14:00:00,"Wednesday, February 14, 2024",Harper Wright,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",steven,Vancouver,2017,BMW,5 Series,96817,BLACK,12:00:00,15:00:00,"Wednesday, February 14, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Eric Ramdat,Vancouver,2004,Subaru,Fit,67427,SILVER,14:00:00,17:00:00,"Wednesday, February 14, 2024",Lily Baker,C,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",SIVA,Alberta,2014,Subaru,WRX,65224,BLACK,15:00:00,18:00:00,"Wednesday, February 14, 2024",Sebastian King,F,NEW PLATES,,,,
"Saturday, February 24, 2024",HARDEEP,Vancouver,2019,Chevrolet,WRX,45326,BLACK,15:00:00,18:00:00,"Wednesday, February 14, 2024",James Thompson,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",KALISE,Vancouver,2012,Toyota,Prius,76246,GRAY,15:00:00,18:00:00,"Wednesday, February 14, 2024",Sebastian King,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Kevin,Toronto,2003,Volkswagen,Atlas,53404,WHITE,11:00:00,14:00:00,"Thursday, February 15, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Pardeep,Toronto,2021,BMW,5 Series,79404,BLACK,15:00:00,18:00:00,"Thursday, February 15, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Vinit,Toronto,2020,Toyota,CR-V,81202,GRAY,10:00:00,13:00:00,"Thursday, February 15, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Saturday, February 24, 2024",Ben,Toronto,2004,Mercedes,E-Class,89942,BLACK,10:00:00,13:00:00,"Thursday, February 15, 2024",Sebastian King,F,NEW PLATES,,,,
"Saturday, February 24, 2024",suraj,Vancouver,2019,Hyundai,Santa Fe,76071,GRAY,8:00:00,11:00:00,"Thursday, February 15, 2024",Charlotte Adams,C,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",Naila,Vancouver,2015,Ford,Accord,58296,WHITE,9:00:00,12:00:00,"Thursday, February 15, 2024",Jack Scott,F,NEW PLATES,,,,
"Saturday, February 24, 2024",NAVJOT,Vancouver,2003,Ford,Fusion,41796,BLACK,10:00:00,13:00:00,"Thursday, February 15, 2024",Lucas Clark,F,NEW PLATES,,,,
"Saturday, February 24, 2024",achilles,Vancouver,2017,Volkswagen,F-150,61892,BLACK,11:00:00,14:00:00,"Thursday, February 15, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Navjot,Vancouver,2004,BMW,Passat,68793,BLACK,10:00:00,13:00:00,"Thursday, February 15, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",HUZOUFA,Vancouver,2015,Honda,Accord,28604,BLACK,11:00:00,14:00:00,"Thursday, February 15, 2024",Liam Johnson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",RICARDO,Vancouver,2018,BMW,Mustang,38001,WHITE,12:00:00,15:00:00,"Thursday, February 15, 2024",Henry Walker,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",ASH,Vancouver,2016,BMW,E-Class,65244,WHITE,12:00:00,15:00:00,"Thursday, February 15, 2024",James Thompson,C,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",PUSHPINDER,Vancouver,2018,Volkswagen,Tiguan,63544,BLACK,11:00:00,17:00:00,"Thursday, February 15, 2024",Henry Walker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Brandon Wallace,Vancouver,2013,Subaru,Crosstrek,57931,WHITE,11:00:00,14:00:00,"Thursday, February 15, 2024",Harper Wright,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",Nathaniel,Vancouver,2023,Subaru,Impreza,67974,BLACK,15:00:00,18:00:00,"Thursday, February 15, 2024",Lucas Clark,F,NEW PLATES,,,,
"Saturday, February 24, 2024",JAY,Vancouver,2017,BMW,GLA,46909,WHITE,14:00:00,17:00:00,"Thursday, February 15, 2024",Harper Wright,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",Dhruvi,Alberta,2004,Volkswagen,Tiguan,65247,BLACK,11:00:00,14:00:00,"Thursday, February 15, 2024",Lily Baker,F,NEW PLATES,,,,
"Saturday, February 24, 2024",JAMES,Alberta,2003,Nissan,Rogue,89232,WHITE,15:00:00,18:00:00,"Thursday, February 15, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",ali,Toronto,2002,Toyota,RAV4,58404,WHITE,14:00:00,17:00:00,"Friday, February 16, 2024",James Thompson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",William Tanner,Vancouver,2010,Chevrolet,RAV4,39418,RED,11:00:00,10:00:00,"Friday, February 16, 2024",Henry Walker,C,NEW PLATES,,,,
"Saturday, February 24, 2024",MURRAY,Vancouver,2006,Chevrolet,Impala,96726,BLACK,8:00:00,11:00:00,"Friday, February 16, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Tina,Vancouver,2010,Volkswagen,Camry,196335,BLUE,11:00:00,14:00:00,"Friday, February 16, 2024",Lily Baker,C,NEW PLATES,,,,
"Saturday, February 24, 2024",mohammed,Vancouver,2022,Chevrolet,Accord,64249,BLACK,15:00:00,18:00:00,"Friday, February 16, 2024",Harper Wright,F,NEW PLATES,,,,
"Saturday, February 24, 2024",marlon,Alberta,2004,Hyundai,X3,131058,GRAY,9:00:00,12:00:00,"Friday, February 16, 2024",Harper Wright,C,NEW PLATES,,,,
"Saturday, February 24, 2024",waleed,Alberta,2017,Mercedes,E-Class,81572,WHITE,14:00:00,17:00:00,"Friday, February 16, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",KAMALPREET,Alberta,2005,Chevrolet,Impala,60083,BLACK,15:00:00,18:00:00,"Friday, February 16, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Rabjot,Alberta,2003,Chevrolet,Atlas,51731,BLACK,10:00:00,13:00:00,"Friday, February 16, 2024",Sebastian King,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Mujeeb,Alberta,2021,Toyota,Highlander,66411,BLACK,12:00:00,15:00:00,"Friday, February 16, 2024",Liam Johnson,F,NEW PLATES,,,,
"Saturday, February 24, 2024",karan,Alberta,2014,BMW,Explorer,69635,WHITE,15:00:00,18:00:00,"Friday, February 16, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Saturday, February 24, 2024",Sarabjit,Toronto,2023,Mercedes,S-Class,57905,BLACK,8:00:00,11:00:00,"Tuesday, February 20, 2024",Henry Walker,C,NEW PLATES,,,,
"Saturday, February 24, 2024",Natelie,Toronto,2002,Hyundai,Sonata,74948,BLACK,10:00:00,13:00:00,"Tuesday, February 20, 2024",Sebastian King,F,NEW PLATES,,,,
"Saturday, February 24, 2024",AMRID,Toronto,2014,Volkswagen,Passat,79928,GRAY,12:00:00,15:00:00,"Tuesday, February 20, 2024",Lily Baker,F,TRANSFER PLATES,,,,
"Saturday, February 24, 2024",Steven,Vancouver,2005,Subaru,E-Class,62153,GRAY,8:00:00,11:00:00,"Tuesday, February 20, 2024",Charlotte Adams,C,TRANSFER PLATES,,,,
